Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,71.437500,71.500000,70.312500,70.687500,26.049694,59500
2000-01-04,67.062500,68.000000,66.000000,66.375000,24.460463,84500
2000-01-05,64.750000,66.312500,63.750000,66.000000,24.322273,118200
2000-01-06,64.000000,64.375000,63.187500,64.125000,23.631302,105400
2000-01-07,63.750000,65.937500,63.375000,65.937500,24.299232,117700
2000-01-10,63.750000,66.000000,63.375000,66.000000,24.322273,61400
2000-01-11,62.750000,63.500000,62.312500,62.625000,23.078524,103200
2000-01-12,63.000000,63.375000,62.750000,63.375000,23.354910,47300
2000-01-13,63.375000,64.625000,62.937500,64.250000,23.677361,50000
2000-01-14,63.062500,64.000000,62.750000,63.875000,23.539156,66700
2000-01-18,62.250000,63.312500,61.625000,63.187500,23.285805,128200
2000-01-19,59.375000,61.875000,59.250000,61.062500,22.502707,226700
2000-01-20,59.250000,59.250000,57.750000,57.875000,21.328043,237900
2000-01-21,60.187500,60.750000,59.125000,59.125000,21.788698,167100
2000-01-24,61.000000,61.000000,59.125000,59.562500,21.949923,106800
2000-01-25,58.937500,59.125000,58.500000,59.000000,21.742640,71700
2000-01-26,59.000000,60.125000,59.000000,60.125000,22.157221,62400
2000-01-27,62.062500,62.562500,61.375000,61.625000,22.709997,84400
2000-01-28,59.812500,60.750000,59.812500,60.000000,22.111156,64200
2000-01-31,59.250000,61.125000,58.750000,61.125000,22.525734,58200
2000-02-01,59.000000,59.750000,58.500000,59.750000,22.019033,69900
2000-02-02,58.500000,59.187500,58.250000,59.000000,21.742640,84600
2000-02-03,59.750000,60.000000,59.375000,59.812500,22.042061,38600
2000-02-04,57.250000,57.750000,56.500000,57.500000,21.189859,235100
2000-02-07,56.875000,57.500000,56.125000,57.125000,21.051659,112700
2000-02-08,57.562500,59.250000,57.562500,58.937500,21.719608,104000
2000-02-09,59.000000,59.000000,58.125000,58.500000,21.558365,104100
2000-02-10,58.625000,58.750000,57.500000,58.000000,21.374117,97000
2000-02-11,56.000000,56.375000,55.500000,55.875000,20.591017,170700
2000-02-14,55.875000,56.062500,55.562500,55.875000,20.591017,85300
2000-02-15,56.375000,57.250000,56.375000,57.250000,21.097736,135500
2000-02-16,59.750000,60.875000,59.750000,60.312500,22.226324,114500
2000-02-17,62.000000,62.250000,60.625000,60.687500,22.364515,61200
2000-02-18,59.000000,59.000000,57.937500,58.000000,21.374117,60300
2000-02-22,57.000000,57.375000,55.875000,57.375000,21.143793,130100
2000-02-23,57.000000,58.250000,56.750000,58.000000,21.374117,57900
2000-02-24,58.375000,59.000000,57.687500,57.875000,21.328043,61700
2000-02-25,57.625000,58.375000,57.500000,57.750000,21.281992,52100
2000-02-28,57.000000,59.000000,56.687500,58.812500,21.673532,84800
2000-02-29,58.562500,59.750000,58.437500,59.500000,21.926895,87000
2000-03-01,57.187500,58.375000,57.187500,58.187500,21.443220,86200
2000-03-02,56.750000,58.375000,56.625000,58.375000,21.512314,106800
2000-03-03,56.125000,57.375000,56.125000,57.000000,21.005596,110200
2000-03-06,55.375000,56.250000,55.125000,55.875000,20.591017,267200
2000-03-07,55.875000,56.015625,55.000000,55.375000,20.406746,221100
2000-03-08,56.750000,57.375000,56.437500,57.375000,21.143793,140500
2000-03-09,56.500000,57.750000,55.750000,57.375000,21.143793,69200
2000-03-10,56.500000,60.000000,56.500000,59.625000,21.972960,165800
2000-03-13,56.000000,57.625000,55.625000,57.375000,21.143793,131000
2000-03-14,57.000000,57.375000,56.125000,56.250000,20.729204,162200
2000-03-15,55.125000,57.875000,55.000000,57.500000,21.632114,114000
2000-03-16,57.187500,58.937500,57.187500,58.625000,22.055346,215700
2000-03-17,58.562500,59.000000,56.500000,56.500000,21.255905,96300
2000-03-20,57.500000,58.812500,57.500000,57.875000,21.773191,168400
2000-03-21,57.625000,58.687500,57.625000,58.687500,22.078863,119400
2000-03-22,59.062500,59.437500,58.812500,59.312500,22.313993,69900
2000-03-23,59.000000,59.750000,58.875000,59.687500,22.455072,109000
2000-03-24,61.437500,62.375000,61.000000,61.250000,23.042904,138500
2000-03-27,60.750000,61.875000,60.625000,61.375000,23.089930,53800
2000-03-28,60.000000,61.500000,60.000000,61.000000,22.948841,28100
2000-03-29,60.750000,60.812500,59.437500,60.687500,22.831287,78600
2000-03-30,58.750000,59.875000,58.625000,58.937500,22.172911,47800
2000-03-31,58.687500,60.937500,58.687500,60.937500,22.925343,78500
2000-04-03,56.875000,57.875000,56.312500,57.625000,21.679150,316200
2000-04-04,57.312500,57.562500,56.000000,56.875000,21.396984,244400
2000-04-05,56.875000,57.750000,56.062500,57.500000,21.632114,82400
2000-04-06,57.250000,58.000000,56.812500,58.000000,21.820219,92300
2000-04-07,56.875000,57.875000,56.500000,57.500000,21.632114,74800
2000-04-10,56.875000,58.250000,56.562500,56.875000,21.396984,136200
2000-04-11,56.750000,57.937500,56.500000,57.812500,21.749676,117000
2000-04-12,57.250000,58.000000,57.250000,57.500000,21.632114,70800
2000-04-13,56.062500,57.250000,56.062500,57.000000,21.444002,72800
2000-04-14,57.000000,57.375000,55.500000,55.500000,20.879686,116100
2000-04-17,55.875000,56.500000,55.250000,56.375000,21.208879,105800
2000-04-18,56.812500,57.375000,56.375000,57.187500,21.514545,138800
2000-04-19,57.750000,57.750000,56.875000,57.062500,21.467522,41200
2000-04-20,57.062500,57.812500,56.812500,57.250000,21.538061,45300
2000-04-24,57.250000,57.500000,56.500000,57.375000,21.585085,48700
2000-04-25,57.312500,58.312500,57.312500,57.937500,21.796709,64700
2000-04-26,57.000000,57.500000,56.687500,57.375000,21.585085,66600
2000-04-27,56.500000,56.562500,56.125000,56.250000,21.161852,105700
2000-04-28,56.625000,57.187500,56.000000,57.187500,21.514545,147300
2000-05-01,57.000000,58.187500,56.937500,57.375000,21.585085,109400
2000-05-02,56.500000,57.500000,56.500000,56.625000,21.302937,79800
2000-05-03,56.250000,56.500000,55.625000,56.000000,21.067797,115500
2000-05-04,55.437500,56.125000,55.125000,55.750000,20.973745,125500
2000-05-05,55.187500,55.625000,55.062500,55.562500,20.903214,164000
2000-05-08,55.250000,55.250000,54.562500,54.875000,20.644560,76200
2000-05-09,54.687500,55.562500,54.687500,55.312500,20.809149,78600
2000-05-10,55.000000,55.125000,54.125000,54.625000,20.550508,87100
2000-05-11,54.750000,55.437500,54.500000,55.125000,20.738615,45900
2000-05-12,55.625000,56.187500,55.562500,55.812500,20.997263,63100
2000-05-15,55.812500,56.250000,55.750000,56.250000,21.161852,47600
2000-05-16,56.125000,56.250000,55.750000,56.000000,21.067797,70000
2000-05-17,55.000000,55.187500,54.125000,54.687500,20.574018,165500
2000-05-18,54.125000,54.937500,54.125000,54.562500,20.527000,75600
2000-05-19,54.375000,54.500000,53.937500,54.500000,20.503481,81000
2000-05-22,54.250000,55.625000,54.000000,55.437500,20.856176,101300
2000-05-23,55.000000,55.000000,54.500000,54.562500,20.527000,98800
